2026-09-10 15:38:41 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:41 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=15087610000141
2026-09-10 15:38:41 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=15087610000141 ERROS=0 AVISOS=0
2026-09-10 15:38:41 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECHOENERGIA 30062026.xlsx em modo incremental.
2026-09-10 15:38:41 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:41 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=31932088000103
2026-09-10 15:38:41 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=31932088000103 ERROS=0 AVISOS=0
2026-09-10 15:38:41 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECHOENERGIA_09_09_2021.xlsx em modo incremental.
2026-09-10 15:38:42 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:42 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=24743678000122
2026-09-10 15:38:42 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=24743678000122 ERROS=0 AVISOS=0
2026-09-10 15:38:42 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECOM 17_05_2022.xlsx em modo incremental.
2026-09-10 15:38:42 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:42 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=05352237000155
2026-09-10 15:38:42 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=05352237000155 ERROS=0 AVISOS=0
2026-09-10 15:38:42 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECOM 22042026.xlsx em modo incremental.
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=05352237000155
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=05352237000155 ERROS=0 AVISOS=0
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECOM 23112023.xlsx em modo incremental.
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=05352237000155
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=05352237000155 ERROS=0 AVISOS=0
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECOM 27032026.xlsx em modo incremental.
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=05352237000155
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=05352237000155 ERROS=0 AVISOS=0
2026-09-10 15:38:43 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECOM_11042024.xlsx em modo incremental.
2026-09-10 15:38:44 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:44 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=05352237000155
2026-09-10 15:38:44 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=05352237000155 ERROS=0 AVISOS=0
2026-09-10 15:38:44 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECOM_14_10_2021.xlsx em modo incremental.
2026-09-10 15:38:44 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:44 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=05352237000155
2026-09-10 15:38:44 | INFO | bdc.comercializadoras | Validação concluída. CNPJ=05352237000155 ERROS=0 AVISOS=0
2026-09-10 15:38:44 | INFO | bdc.comercializadoras | Iniciando processamento do arquivo ECOM_2024.xlsx em modo incremental.
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Registro normalizado (Entrada: 44, Saída: 48).
2026-09-10 15:38:45 | INFO | bdc.comercializadoras | Iniciando validação unificada do registro. CNPJ=05352237000155
